caseid,Support,contrump,libtrump,self,republican
327969498,1,0,0,0,0
327969503,NA,1,0,0,0
327969529,1,1,0,0,0
327969536,NA,0,1,0,0
327969567,1,1,0,0,0
327969584,NA,0,1,0,1
327969589,NA,0,0,0,0
327969695,1,0,0,0,0
327969722,1,0,0,0,0
327971833,0,1,0,0,1
327971858,1,0,0,0,0
327971924,0,1,0,0,1
327971980,1,1,0,0,0
327971982,1,0,0,0,0
327974211,0,0,0,0,1
327975227,1,0,0,0,0
327976494,1,0,1,0,0
327978817,1,0,1,0,0
327978838,NA,0,0,0,0
327978881,1,0,1,0,0
327980747,1,0,0,0,0
327980755,NA,1,0,0,0
327981230,0,0,0,0,0
327981240,NA,0,1,0,0
327981977,0,0,0,0,0
327983114,1,0,0,0,0
327983430,1,0,0,0,0
327984067,1,1,0,0,0
327985812,1,0,0,0,1
327986897,1,0,0,0,0
327987881,1,1,0,0,0
327988990,1,0,1,0,1
327989978,1,0,0,0,1
327990034,1,1,0,0,0
327990272,NA,0,1,0,1
327990503,0,0,0,0,1
327994540,1,0,0,0,0
327994551,1,1,0,0,0
327994566,1,1,0,0,0
327994613,1,1,0,0,0
327996161,0,1,0,0,1
327997018,0,0,0,0,1
327997542,0,0,0,0,0
327997557,1,0,0,0,0
327999688,1,0,1,0,1
